"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Logic Challenges","","0","0","11","0","0"
"","Automatización Front-end","","0","0","6","0","0"
"","API Automation Testing for Users","","4","0","2","0","0"
