"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 17 04:54:55 GMT 2024","Tue Sep 17 04:54:56 GMT 2024","906","","API Automation Testing for Users","","","","Get user details by ID",""
"passed","Tue Sep 17 04:55:30 GMT 2024","Tue Sep 17 04:55:30 GMT 2024","175","","Logic Challenges","","","","Sort words in alphabetical order",""
"failed","Tue Sep 17 04:54:58 GMT 2024","Tue Sep 17 04:54:58 GMT 2024","555","","API Automation Testing for Users","","","","Verify deleted user no longer exists",""
"passed","Tue Sep 17 04:55:16 GMT 2024","Tue Sep 17 04:55:19 GMT 2024","2324","","Automatización Front-end","","","","Verify negative values are displayed in red",""
"passed","Tue Sep 17 04:55:30 GMT 2024","Tue Sep 17 04:55:30 GMT 2024","207","","Logic Challenges","","","","Verify if a number is prime (example #4)",""
"passed","Tue Sep 17 04:55:19 GMT 2024","Tue Sep 17 04:55:21 GMT 2024","2328","","Automatización Front-end","","","","Verify that there are exactly 6 transactions in the expense table",""
"passed","Tue Sep 17 04:55:29 GMT 2024","Tue Sep 17 04:55:29 GMT 2024","154","","Logic Challenges","","","","Verify if a number is prime (example #1)",""
"passed","Tue Sep 17 04:55:29 GMT 2024","Tue Sep 17 04:55:29 GMT 2024","160","","Logic Challenges","","","","Verify if a number is prime (example #3)",""
"passed","Tue Sep 17 04:54:58 GMT 2024","Tue Sep 17 04:54:59 GMT 2024","515","","API Automation Testing for Users","","","","Create user with invalid data",""
"passed","Tue Sep 17 04:55:31 GMT 2024","Tue Sep 17 04:55:31 GMT 2024","188","","Logic Challenges","","","","Generate the first 5 Fibonacci numbers",""
"passed","Tue Sep 17 04:55:05 GMT 2024","Tue Sep 17 04:55:09 GMT 2024","4298","","Automatización Front-end","","","","Success Login",""
"passed","Tue Sep 17 04:55:30 GMT 2024","Tue Sep 17 04:55:30 GMT 2024","174","","Logic Challenges","","","","Verify if a number is prime (example #5)",""
"failed","Tue Sep 17 04:54:57 GMT 2024","Tue Sep 17 04:54:58 GMT 2024","580","","API Automation Testing for Users","","","","Delete an existing user",""
"passed","Tue Sep 17 04:55:31 GMT 2024","Tue Sep 17 04:55:31 GMT 2024","196","","Logic Challenges","","","","Verify if a string is a palindrome (example #3)",""
"passed","Tue Sep 17 04:55:14 GMT 2024","Tue Sep 17 04:55:16 GMT 2024","2711","","Automatización Front-end","","","","Verify positive values are displayed in green",""
"passed","Tue Sep 17 04:55:31 GMT 2024","Tue Sep 17 04:55:31 GMT 2024","220","","Logic Challenges","","","","Find a pair that sums to a target",""
"passed","Tue Sep 17 04:54:55 GMT 2024","Tue Sep 17 04:54:55 GMT 2024","524","","API Automation Testing for Users","","","","Create a new user",""
"passed","Tue Sep 17 04:55:30 GMT 2024","Tue Sep 17 04:55:30 GMT 2024","228","","Logic Challenges","","","","Verify if a string is a palindrome (example #1)",""
"failed","Tue Sep 17 04:54:56 GMT 2024","Tue Sep 17 04:54:57 GMT 2024","757","","API Automation Testing for Users","","","","Update existing user",""
"passed","Tue Sep 17 04:55:30 GMT 2024","Tue Sep 17 04:55:31 GMT 2024","202","","Logic Challenges","","","","Verify if a string is a palindrome (example #2)",""
"passed","Tue Sep 17 04:55:11 GMT 2024","Tue Sep 17 04:55:14 GMT 2024","2297","","Automatización Front-end","","","","Verify the available credit is 17,800",""
"passed","Tue Sep 17 04:55:29 GMT 2024","Tue Sep 17 04:55:29 GMT 2024","261","","Logic Challenges","","","","Verify if a number is prime (example #2)",""
"passed","Tue Sep 17 04:55:09 GMT 2024","Tue Sep 17 04:55:11 GMT 2024","2354","","Automatización Front-end","","","","Verify the total balance is 350",""
